RNGSource;RNGTarget;RNGDistance;
57;1582;3,8729833;
57;1871;4,7958315;
58;785;3,4641016;
58;2320;4,1231056;
58;2599;3,6055513;
58;2760;4,4721360;
58;2932;4,3588989;
58;3364;3,0000000;
58;3545;3,1622777;
59;1070;4,2426407;
59;2298;3,8729833;
59;3477;2,4494897;
60;809;3,3166248;
60;2548;2,8284271;
60;2746;4,0000000;
60;3107;2,8284271;
60;3241;4,3588989;
60;3593;4,2426407;
60;3826;3,1622777;
61;950;3,8729833;
61;953;4,2426407;
61;1391;4,4721360;
61;2097;3,3166248;
61;3320;3,3166248;
61;3503;4,2426407;
62;1447;4,1231056;
62;2110;4,0000000;
62;2969;4,5825757;
63;946;4,0000000;
63;1146;3,3166248;
63;2760;3,7416574;
63;3236;4,6904158;
63;3253;4,1231056;
64;301;3,1622777;
64;820;3,4641016;
64;1935;3,8729833;
64;2757;3,8729833;
64;3406;3,7416574;
65;289;4,5825757;
65;794;3,6055513;
65;2887;2,2360680;
65;3034;3,0000000;
66;486;4,5825757;
66;525;4,4721360;
66;918;4,7958315;
66;3219;4,5825757;
67;533;3,0000000;
67;1672;2,6457513;
67;1808;4,0000000;
67;2165;4,6904158;
67;3398;3,1622777;
68;99;4,7958315;
68;528;4,2426407;
68;799;3,8729833;
68;1803;4,2426407;
68;2969;3,6055513;
68;3124;4,5825757;
69;1892;4,3588989;
69;2668;4,1231056;
69;3381;4,1231056;
70;432;3,3166248;
70;1721;3,8729833;
70;1975;3,0000000;
70;2241;3,7416574;
70;2714;3,8729833;
70;2861;3,7416574;
70;3875;4,0000000;
71;131;4,4721360;
71;1133;3,4641016;
71;1954;4,2426407;
71;2547;4,5825757;
71;3016;4,2426407;
71;3623;3,8729833;
71;3891;4,0000000;
72;556;3,3166248;
72;706;3,8729833;
72;768;4,2426407;
72;1157;3,7416574;
72;1258;4,0000000;
72;2144;3,7416574;
73;1033;5,1961524;
73;1204;3,8729833;
73;2130;3,4641016;
73;2484;4,4721360;
73;2561;3,8729833;
73;3104;3,8729833;
74;498;3,6055513;
74;666;3,4641016;
74;1352;4,1231056;
75;507;4,1231056;
75;636;4,0000000;
75;1002;3,4641016;
75;1004;4,0000000;
75;1311;4,3588989;
75;1776;4,2426407;
76;951;3,3166248;
76;1415;3,6055513;
76;1658;3,3166248;
76;1672;3,3166248;
76;2452;4,0000000;
76;2605;3,6055513;
76;3047;3,7416574;
77;360;3,1622777;
77;864;2,8284271;
77;1705;3,1622777;
77;2593;3,6055513;
77;3819;3,3166248;
78;92;4,1231056;
78;260;4,0000000;
78;1246;3,3166248;
78;1383;3,3166248;
78;1788;4,3588989;
78;2003;4,2426407;
78;2557;2,4494897;
78;2987;3,6055513;
78;3361;3,6055513;
79;1680;3,7416574;
79;1702;3,6055513;
79;1911;4,4721360;
79;2822;4,7958315;
80;1077;3,7416574;
80;1091;3,7416574;
80;1792;4,1231056;
80;2049;3,7416574;
80;3281;4,2426407;
80;3424;4,0000000;
80;3483;3,8729833;
81;190;4,5825757;
81;369;4,0000000;
81;2281;4,5825757;
81;2323;3,8729833;
81;2654;3,4641016;
82;1170;3,4641016;
82;1547;3,0000000;
82;1589;4,0000000;
82;1818;2,8284271;
82;2011;4,6904158;
82;2604;3,6055513;
82;3166;4,6904158;
83;130;3,0000000;
83;243;3,6055513;
83;3523;4,2426407;
83;3803;3,4641016;
84;757;3,4641016;
84;2789;4,1231056;
84;2970;3,1622777;
84;3289;4,0000000;
85;3279;4,6904158;
85;3582;3,6055513;
86;560;4,0000000;
86;3639;3,1622777;
87;2036;3,4641016;
87;2347;3,3166248;
87;2460;3,1622777;
87;2513;3,7416574;
87;2546;3,8729833;
88;98;3,7416574;
88;256;4,1231056;
88;1520;4,4721360;
88;2680;4,1231056;
88;2900;3,6055513;
88;3979;4,0000000;
89;2519;3,7416574;
89;2528;2,6457513;
89;2702;3,0000000;
89;2828;4,1231056;
89;3748;4,1231056;
90;1136;3,7416574;
90;1360;3,0000000;
90;3139;4,1231056;
90;3582;3,7416574;
91;887;4,1231056;
91;1144;4,0000000;
91;2628;4,1231056;
91;2860;2,4494897;
91;3149;3,1622777;
92;98;4,2426407;
92;160;3,1622777;
92;747;4,3588989;
92;1360;4,3588989;
92;2374;3,6055513;
93;222;4,3588989;
93;975;3,8729833;
93;2311;4,5825757;
93;2713;4,3588989;
93;2966;3,8729833;
93;3903;4,4721360;
93;3915;4,3588989;
94;2190;4,0000000;
94;2603;3,1622777;
94;2753;3,8729833;
94;2836;4,2426407;
94;2929;4,0000000;
94;2981;3,3166248;
95;1706;3,6055513;
95;1935;3,6055513;
